Date|Ticker|Headline|
45985|V|IRS Finalizes 1% Excise Tax Rules on Stock Buybacks by Publicly Traded Corporations|
45985|V|Final IRS Regulations on Stock Buyback Tax Narrow Applicability to Corporations in Acquisitive Reorganizations|
45985|V|New Tax Rule Excludes Take-Private Transactions and Many Leveraged Buyouts from Stock Repurchase Excise Tax|
45985|V|IRS Withdraws 'Funding Rule' that Would Have Impacted Foreign Corporation Affiliates for Stock Buyback Tax|
"45982|V|Information Technology and Communication Services Stocks, Led by AI-Related Companies, Topped S&P 500 Performance in 2025|"
45982|V|Financials Sector Reached a New All-Time High in September 2025|
45982|V|Resumption of Fed Rate Cuts and Positive Economic Data Benefited Mid- and Small-Cap Stocks|
45964|V|S&P 500 Profits on Track to Rise About 11% Year-over-Year; Earnings Growth Expected to Drive Stock Prices in 2026|
45964|V|Economic Resilience Continued in 2025 with Growth Holding Firm and Recession Calls Fading|
"45964|V|AI and Tech Innovation Wave, Sparked by ChatGPT, Continues to Fuel Rally in Tech-Heavy Nasdaq|"
45658|AAPL|faces increased regulatory attention over new business moves|
45659|AAPL|AAPL reports quarterly earnings exceeding Wall Street expectations|
45660|AAPL|AAPL expands global operations with new partnerships|
45661|AAPL|stock experiences volatility amid shifting market sentiment|
45662|AAPL|Invests in AI and automation for nextâ€‘generation innovation|
45658|GME|invests in AI and automation for nextâ€‘generation innovation|
45659|GME|reports quarterly earnings exceeding Wall Street expectations|
45660|GME|expands global operations with new partnerships|
45661|GME|faces increased regulatory attention over new business moves|
45658|MA|announces major product expansion to strengthen market share|
45659|MA|reports quarterly earnings exceeding Wall Street expectations|
45660|MA|signs strategic alliance with key industry leaders|
45661|MA|stock experiences volatility amid shifting market sentiment|
45662|MA|expands global operations with new partnerships|
45662|MSFT|expands global operations with new partnerships|
45663|MSFT|signs strategic alliance with key industry leaders|
45664|MSFT|faces increased regulatory attention over new business moves|
45665|MSFT|stock experiences volatility amid shifting market sentiment|
45666|MSFT|reports quarterly earnings exceeding Wall Street expectations|
45667|MSFT|announces major product expansion to strengthen market share|
45658|NVDA|faces increased regulatory attention over new business moves|
45659|NVDA|announces major product expansion to strengthen market share|
45660|NVDA|invests in AI and automation for nextâ€‘generation innovation|
45661|NVDA|stock experiences volatility amid shifting market sentiment|
45662|NVDA|expands global operations with new partnerships|
45663|NVDA|stock experiences volatility amid shifting market sentiment|
45659|V|signs strategic alliance with key industry leaders|
45660|V|stock experiences volatility amid shifting market sentiment|
45661|V|invests in AI and automation for nextâ€‘generation innovation|
45662|V|expands global operations with new partnerships|
45663|V|reports quarterly earnings exceeding Wall Street expectations|
